#X,5965_ Scalar_ SUBCASE - DIRECT FREQUENCY 1,5965_ Scalar_ SUBCASE - DIRECT FREQUENCY 1,5966_ Scalar_ SUBCASE - DIRECT FREQUENCY 1,5966_ Scalar_ SUBCASE - DIRECT FREQUENCY 1,5967_ Scalar_ SUBCASE - DIRECT FREQUENCY 1,5967_ Scalar_ SUBCASE - DIRECT FREQUENCY 1
#Frequency(Hz),Pressure(mN/mm^2(kPa))_Imaginary,Pressure(mN/mm^2(kPa))_Real,Pressure(mN/mm^2(kPa))_Imaginary,Pressure(mN/mm^2(kPa))_Real,Pressure(mN/mm^2(kPa))_Imaginary,Pressure(mN/mm^2(kPa))_Real
286.000000,-0.566038,0.118399,-0.561440,0.117437,-0.560789,0.117301
288.000000,-0.563200,0.118619,-0.558561,0.117642,-0.557904,0.117503
290.000000,-0.560414,0.118839,-0.555734,0.117846,-0.555071,0.117706
292.000000,-0.557679,0.119059,-0.552957,0.118051,-0.552288,0.117908
294.000000,-0.554993,0.119278,-0.550229,0.118254,-0.549555,0.118109
296.000000,-0.552356,0.119497,-0.547550,0.118458,-0.546870,0.118311
298.000000,-0.549767,0.119716,-0.544919,0.118661,-0.544232,0.118511
300.000000,-0.547224,0.119935,-0.542334,0.118863,-0.541641,0.118711
302.000000,-0.544727,0.120153,-0.539794,0.119065,-0.539096,0.118911
304.000000,-0.542275,0.120371,-0.537299,0.119266,-0.536595,0.119110
306.000000,-0.539868,0.120588,-0.534848,0.119467,-0.534138,0.119308
308.000000,-0.537503,0.120805,-0.532440,0.119667,-0.531724,0.119506
310.000000,-0.535181,0.121022,-0.530074,0.119867,-0.529352,0.119703
312.000000,-0.532900,0.121238,-0.527750,0.120066,-0.527021,0.119900
314.000000,-0.530661,0.121453,-0.525466,0.120264,-0.524731,0.120096
316.000000,-0.528461,0.121668,-0.523221,0.120462,-0.522480,0.120291
318.000000,-0.526300,0.121883,-0.521016,0.120659,-0.520268,0.120486
320.000000,-0.524178,0.122097,-0.518848,0.120856,-0.518095,0.120680
322.000000,-0.522093,0.122311,-0.516718,0.121052,-0.515958,0.120874
324.000000,-0.520045,0.122525,-0.514625,0.121248,-0.513859,0.121067
326.000000,-0.518034,0.122738,-0.512568,0.121443,-0.511796,0.121260
328.000000,-0.516059,0.122951,-0.510547,0.121638,-0.509767,0.121452
330.000000,-0.514118,0.123163,-0.508560,0.121832,-0.507774,0.121644
332.000000,-0.512212,0.123376,-0.506607,0.122026,-0.505815,0.121835
334.000000,-0.510340,0.123588,-0.504687,0.122220,-0.503889,0.122026
336.000000,-0.508500,0.123801,-0.502801,0.122413,-0.501996,0.122217
338.000000,-0.506694,0.124013,-0.500947,0.122606,-0.500135,0.122408
340.000000,-0.504919,0.124225,-0.499124,0.122799,-0.498306,0.122598
342.000000,-0.503176,0.124437,-0.497333,0.122993,-0.496508,0.122788
344.000000,-0.501463,0.124650,-0.495572,0.123186,-0.494740,0.122979
346.000000,-0.499781,0.124863,-0.493842,0.123379,-0.493003,0.123169
348.000000,-0.498129,0.125075,-0.492141,0.123572,-0.491295,0.123360
350.000000,-0.496507,0.125289,-0.490469,0.123765,-0.489616,0.123550
